ano;cnae_2_descricao_secao;variable;salario_medio
2011;Atividades Imobiliárias;Admissões;940.921327014218
2011;Atividades Imobiliárias;Demissões;1020.9855813953487
2011;Atividades Profissionais, Científicas E Técnicas;Admissões;984.3448191293684
2011;Atividades Profissionais, Científicas E Técnicas;Demissões;1012.2611342426418
2011;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;818.3819651927099
2011;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;926.8618376136545
2011;Construção;Admissões;713.1972015730053
2011;Construção;Demissões;759.9342265152633
2011;Educação;Admissões;867.9162626262627
2011;Educação;Demissões;1191.100985277463
2011;Indústrias De Transformação;Admissões;1344.9243344970544
2011;Indústrias De Transformação;Demissões;1430.2335388175889
2011;Indústrias Extrativas;Demissões;1112.0
2011;Informação E Comunicação;Admissões;993.7402458547741
2011;Informação E Comunicação;Demissões;1174.861718696398
2011;Outras Atividades De Serviços;Admissões;737.9202941176471
2011;Outras Atividades De Serviços;Demissões;959.2809048067861
2011;Saúde Humana E Serviços Sociais;Admissões;964.2344896957801
2011;Saúde Humana E Serviços Sociais;Demissões;999.7854566473989
2011;Serviços Domésticos;Admissões;231.26999999999998
2011;Serviços Domésticos;Demissões;868.0
2011;Transporte, Armazenagem E Correio;Admissões;919.6431000304972
2011;Transporte, Armazenagem E Correio;Demissões;991.2482100641676
2011;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;989.5552631578947
2011;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;1247.1997093023256
2012;Administração Pública, Defesa E Seguridade Social;Admissões;918.7475968222444
2012;Administração Pública, Defesa E Seguridade Social;Demissões;768.3800874010553
2012;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;483.51599999999996
2012;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;637.8571428571429
2012;Alojamento E Alimentação;Admissões;809.043262402869
2012;Alojamento E Alimentação;Demissões;854.9274969021067
2012;Artes, Cultura, Esporte E Recreação;Admissões;748.0825641025641
2012;Artes, Cultura, Esporte E Recreação;Demissões;776.68522875817
2012;Atividades Administrativas E Serviços Complementares;Admissões;834.0577688331498
2012;Atividades Administrativas E Serviços Complementares;Demissões;920.0312433423558
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1580.9856348661633
2012;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;3089.6753238546603
2012;Atividades Imobiliárias;Admissões;1062.7101219512194
2012;Atividades Imobiliárias;Demissões;1164.31
2012;Atividades Profissionais, Científicas E Técnicas;Admissões;964.0362950373894
2012;Atividades Profissionais, Científicas E Técnicas;Demissões;1167.128572377158
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;897.9150625804187
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;1034.6974009669686
2012;Construção;Admissões;791.7864463342353
2012;Construção;Demissões;926.3905745433117
2012;Educação;Admissões;851.3089720946663
2012;Educação;Demissões;1106.230058983666
2012;Indústrias De Transformação;Admissões;1451.716942926147
2012;Indústrias De Transformação;Demissões;1731.0609775659652
2012;Indústrias Extrativas;Admissões;883.0369131832797
2012;Indústrias Extrativas;Demissões;1270.2121212121212
2012;Informação E Comunicação;Admissões;1437.0742401656314
2012;Informação E Comunicação;Demissões;1643.8043029533185
2012;Outras Atividades De Serviços;Admissões;866.6532456140351
2012;Outras Atividades De Serviços;Demissões;1049.2691630340016
2012;Saúde Humana E Serviços Sociais;Admissões;791.9884432387313
2012;Saúde Humana E Serviços Sociais;Demissões;889.8863252427185
2012;Serviços Domésticos;Admissões;182.83333333333334
2012;Serviços Domésticos;Demissões;603.9869565217392
2012;Transporte, Armazenagem E Correio;Admissões;1005.5227311762001
2012;Transporte, Armazenagem E Correio;Demissões;1115.1189944322591
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;1161.9435294117648
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;1330.867469879518
2013;Administração Pública, Defesa E Seguridade Social;Admissões;1058.9843450442065
2013;Administração Pública, Defesa E Seguridade Social;Demissões;854.0955171957672
2013;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;1141.7142857142858
2013;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;939.8076923076923
2013;Alojamento E Alimentação;Admissões;872.9443191015783
2013;Alojamento E Alimentação;Demissões;982.5101782748311
2013;Artes, Cultura, Esporte E Recreação;Admissões;824.886368159204
2013;Artes, Cultura, Esporte E Recreação;Demissões;803.2724736842105
2013;Atividades Administrativas E Serviços Complementares;Admissões;966.8674033240086
2013;Atividades Administrativas E Serviços Complementares;Demissões;941.910523026879
2013;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1595.8661167684998
2013;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;3630.09582010582
2013;Atividades Imobiliárias;Admissões;1090.7546226415095
2013;Atividades Imobiliárias;Demissões;1171.6480612244898
2013;Atividades Profissionais, Científicas E Técnicas;Admissões;1017.9750467289721
2013;Atividades Profissionais, Científicas E Técnicas;Demissões;1131.3875019455252
2013;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;954.0391313319308
2013;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;1067.9560450049669
2013;Construção;Admissões;781.7742000527148
2013;Construção;Demissões;949.4098193119398
2013;Educação;Admissões;905.5807355579475
2013;Educação;Demissões;1091.4113548915268
2013;Eletricidade E Gás;Admissões;2852.0
2013;Eletricidade E Gás;Demissões;7528.0
2013;Indústrias De Transformação;Admissões;1625.297492989344
