desc_cod_escoa_sanitario_domic_fam;cod_familiar_fam
Vala a céu aberto;585254400
Vala a céu aberto;585254591
Vala a céu aberto;585254672
Vala a céu aberto;585254753
Vala a céu aberto;585255059
Vala a céu aberto;585255130
;585255644
Vala a céu aberto;585256020
Vala a céu aberto;585256292
Fossa rudimentar;585256454
Vala a céu aberto;585258155
Outra forma;585267650
Fossa séptica;585267812
Vala a céu aberto;585268380
Vala a céu aberto;585268894
Vala a céu aberto;585269351
Vala a céu aberto;585271097
Direto para um rio, lago ou mar;585271410
Vala a céu aberto;585271500
Fossa rudimentar;585272816
Vala a céu aberto;585259550
Vala a céu aberto;585260052
Vala a céu aberto;585260133
Fossa rudimentar;585260214
Vala a céu aberto;585260303
Vala a céu aberto;585260486
Fossa séptica;585261610
Vala a céu aberto;585262500
Fossa séptica;585263159
Fossa séptica;585263400
Fossa séptica;585264554
Vala a céu aberto;585265445
Vala a céu aberto;585265607
Vala a céu aberto;585265879
Vala a céu aberto;585265950
Fossa rudimentar;585266506
;585266921
Fossa rudimentar;665393822
Vala a céu aberto;665394209
Vala a céu aberto;665394632
Vala a céu aberto;665395280
Vala a céu aberto;665395795
Vala a céu aberto;665395876
Fossa séptica;665396503
Vala a céu aberto;665396686
Vala a céu aberto;665398700
Vala a céu aberto;665399197
Direto para um rio, lago ou mar;665400110
Vala a céu aberto;585274274
Vala a céu aberto;585274860
Vala a céu aberto;585275670
Vala a céu aberto;585276994
Fossa rudimentar;585277451
Vala a céu aberto;585277532
Vala a céu aberto;585277702
Fossa séptica;585278261
Vala a céu aberto;585279829
Fossa rudimentar;585279900
Fossa séptica;585280401
Vala a céu aberto;585280754
Fossa rudimentar;585280916
Vala a céu aberto;585281130
Vala a céu aberto;585281300
Vala a céu aberto;585281807
Fossa séptica;585281998
Vala a céu aberto;585282102
Fossa séptica;585282536
Outra forma;585282960
Vala a céu aberto;585284237
Vala a céu aberto;585284903
Vala a céu aberto;585285713
Vala a céu aberto;585285985
Vala a céu aberto;585286019
Vala a céu aberto;585286361
Direto para um rio, lago ou mar;585286442
Vala a céu aberto;585287090
Vala a céu aberto;585287929
Vala a céu aberto;585288143
Outra forma;585288305
Vala a céu aberto;585288496
Vala a céu aberto;585289034
Vala a céu aberto;585289115
Fossa séptica;585289549
Fossa rudimentar;585290121
Vala a céu aberto;585290636
Vala a céu aberto;585290806
