desc_cod_agua_canalizada_fam;cod_familiar_fam
Não;3998913823
Não;4002425592
Não;4006178620
Não;4006647638
Não;4021325999
Não;4026775526
Não;4044509700
Não;4055032706
Não;4046207876
Não;4047315621
Não;4057942580
Não;4078659349
Não;4083035730
Não;4084592129
Não;4091359922
Não;4095610379
Não;4096941930
Não;4098624877
Não;4107270084
Não;4109154677
Não;4109706203
Não;4131807513
Não;4161121296
Não;4167929600
Não;4169893140
Não;4178456008
Não;4209891967
Não;4196880568
Não;4217825102
Não;4228410995
Não;4233631740
Não;4239482020
Não;4245993685
Não;4246707716
Não;4249976815
Não;4254801785
Não;4261025418
Não;4269340592
Não;4279907501
Não;4286329984
Não;4289795137
Não;4294725605
Não;4305182181
Não;4317940060
Não;4318721396
Não;4337897607
Não;4341297040
Não;4342912341
Não;4350733892
Não;4351232706
Não;4352340308
Não;4355579719
Não;4355819884
Não;4356512855
Não;4367421368
Não;4381815491
Não;4382078822
Não;4393188667
Não;4397206481
Não;4426093961
Não;4432310367
Não;4447824949
Não;4460854643
Não;4461471926
Não;4463026008
Não;4463654084
Não;4471748785
Não;4486003314
Não;4477928904
Não;4481407131
Não;4495389904
Não;4499018587
Não;4512137181
Não;4513074701
Não;4517336220
Não;4517831744
Não;4521276458
Não;4521721796
Não;4523242380
Não;4527337319
Não;4529705714
Não;4542102300
Não;4543062612
Não;4547094047
Não;4549040106
Não;4551339300
Não;4551469696
Não;4561578242
Não;4597604081
Não;4601307813
Não;4602222447
Não;4609765403
Não;4610914450
Não;4614944779
Não;4636942442
Não;4619604607
Não;4623865894
Não;4627187190
Não;4627274165
Não;4627282265
Não;4629030107
Não;4630178899
Não;4657008374
Não;4661854993
Não;4667517964
Não;4671706490
Não;4672408418
Não;4695808609
Não;4704423956
Não;4705645049
Não;4742881966
Não;4749831883
Não;4760523600
Não;4762374164
Não;4772837990
Não;4774059676
Não;4783598614
Não;4786142174
Não;4789390004
Não;4803113238
Não;4809678490
Não;4809837637
Não;4812243351
Não;4815861218
Não;4816999299
Não;4823277902
Não;4824371708
Não;4829956453
Não;4833483173
Não;4852757160
Não;4856336630
Não;4860818423
Não;4872544226
Não;4883537501
Não;4884583825
Não;4893759361
Não;4897300517
Não;4902170361
Não;4904589637
Não;4910557229
Não;4912115037
Não;4913153501
Não;4915515338
Não;4922669213
Não;4927080293
Não;4930803764
Não;4944019823
Não;4952546659
Não;4960207906
Não;4965520904
Não;4966354846
Não;4972147687
Não;4979984835
Não;4980608612
Não;4980697615
Não;4988208311
Não;4989290941
Não;4996487810
Não;4997177679
Não;4999396386
Não;5001775388
Não;5005155651
Não;5005640860
Não;5009195429
Não;5037760097
Não;5042737600
Não;5043858443
Não;5048377109
Não;5048621620
Não;5058302489
Não;5083849232
Não;5090001189
Não;5102378430
Não;5105496590
Não;5110552347
Não;5112380705
Não;5117765788
Não;5122136580
Não;5122292280
Não;5125426601
Não;5130634802
Não;5138093762
Não;5141391701
Não;5154001303
Não;5165614212
Não;5173219637
Não;5185002760
Não;5197378573
Não;5201492037
Não;5210644901
Não;5210753190
Não;5233346214
Não;5240397716
Não;5245106795
Não;5276968209
Não;5286487645
Não;5292063746
Não;5292400335
Não;5295425606
Não;5299071353
Não;5301347217
Não;5302767201
Não;5307608357
Não;5320023774
Não;5325311328
Não;5330754674
Não;5331611427
Não;5344269722
Não;5355870236
Não;5374350420
Não;5377204131
Não;5380909604
Não;5392045448
Não;5395625992
Não;5396219602
Não;5407388162
Não;5407574705
Não;5408216241
Não;5414276870
Não;5423900948
Não;5450150229
Não;5446629205
Não;5452307990
Não;5469611850
Não;5470412172
Não;5471349407
Não;5473032460
Não;5493416093
Não;5494212890
Não;5504146658
Não;5505390269
Não;5514555194
Não;5515596161
Não;5521863761
Não;5530040187
Não;5542255736
Não;5556733759
Não;5545574522
Não;5577698413
Não;5595815566
Não;5600267142
Não;5617187929
Não;5632080749
Não;5643591308
Não;5649942510
Não;5672333753
Não;5681907856
Não;5685458002
Não;5695585490
Não;5716908403
Não;5720648020
Não;5720977511
Não;5729147414
Não;5738169565
Não;5743961280
Não;5749843130
Não;5759813269
Não;5769343133
Não;5790594212
Não;5812515123
Não;5812788103
Não;5842350114
Não;5839129666
Não;5879631400
Não;5884433441
Não;5893936264
Não;5896401868
Não;5897652643
Não;5900618528
Não;5906962204
Não;5936249638
Não;5973510581
Não;5973599701
Não;5985978915
Não;5993079940
Não;5996675323
Não;6013626758
Não;6013697000
Não;6013711003
Não;6019299694
Não;6049576700
Não;6051536558
Não;6114580478
Não;6115744032
Não;6119969446
Não;6172965379
Não;6180653852
Não;6190481159
Não;6250822909
Não;6254282186
Não;6262109250
Não;6267722902
Não;6267820157
Não;6276589977
Não;6286560254
Não;6287034572
Não;6311812614
Não;6338591686
Não;6343005803
Não;6347522608
Não;6348006395
Não;6371554247
Não;6389341768
Não;6396704587
Não;6404363909
Não;6406828984
Não;6411017590
Não;6411981833
Não;6432239834
Não;6432649145
Não;6435152403
Não;6479915194
Não;6496736200
Não;6499829919
Não;6506921528
Não;6523799158
Não;6526919510
Não;6536844602
Não;6540042000
Não;6540287291
Não;6551071007
Não;6564330782
Não;6569333569
Não;6577743169
Não;6599809758
Não;6610811849
Não;6604834328
Não;6608677707
Não;6611814728
Não;6623156500
Não;6631230039
Não;6641934802
Não;6644111181
Não;6655173000
Não;6658496803
Não;6694709102
Não;6711768973
Não;6712211085
Não;6705665866
Não;6719000640
Não;6725211569
Não;6748218829
Não;6756503219
Não;6756624512
Não;6772628845
Não;6774483925
Não;6808410240
Não;6814916550
Não;6823575450
Não;6833328218
Não;6835176784
Não;6838051427
Não;6839171965
Não;6839796639
Não;6878663083
Não;6921159272
Não;6950243456
Não;6982433153
Não;6986375182
Não;7005419502
Não;7039876582
Não;7047546499
Não;7064681986
Não;7095794111
Não;7113137253
Não;7110578348
Não;7135684451
Não;7141332995
Não;7159915313
Não;7166316527
Não;7175395396
Não;7185961530
Não;7199437102
Não;7203447430
Não;7204651502
Não;7213471422
Não;7213685651
Não;7216821890
Não;7217432502
Não;7229946808
Não;7239988333
Não;7243796060
Não;7244840357
Não;7246112235
Não;7264036367
Não;7288593355
Não;7298918362
Não;7300038174
Não;7305952699
Não;7373908403
Não;7395200594
Não;7425960362
Não;7426277135
Não;7432584958
Não;7433753605
Não;7441068851
Não;7456192405
Não;7473516949
Não;7494425659
Não;7495365005
Não;7497245791
Não;7507936864
Não;7508933621
Não;7513098930
Não;7513138311
Não;7534634580
Não;7534887526
Não;7542139789
Não;7547277349
Não;7547974309
Não;7556077160
Não;7577705330
Não;7601421732
Não;7605247265
Não;7606934126
Não;7617376189
Não;7620989889
Não;7624011336
Não;7644823271
Não;7645435208
Não;7654046995
Não;7654207670
Não;7661500540
Não;7663566394
Não;7671927457
Não;7688339146
Não;7687440161
Não;7691489056
Não;7694011122
Não;7696699059
Não;7700087989
Não;7702020474
Não;7706389618
Não;7710924310
Não;7714462922
Não;7717413671
Não;7720458605
Não;7725277501
Não;7727349259
Não;7730139707
Não;7732499409
Não;7733988489
Não;7744058720
Não;7744249232
Não;7744786084
Não;7751314664
Não;7759405421
Não;7764224057
Não;7783084990
Não;7808940062
Não;7813901681
Não;7826632307
Não;7844232617
Não;7830685657
Não;7833712841
Não;7837156412
Não;7840512160
Não;7841204043
Não;7859880920
Não;7866179697
Não;7863179904
Não;7871028650
Não;7902481157
Não;7917123626
Não;7938068284
Não;7940842307
Não;7941181193
Não;7951022837
Não;7944286905
Não;7955736184
Não;7964286030
Não;7969493955
Não;7973469532
Não;7982423531
Não;7993652626
Não;7993871000
Não;8008811765
Não;8011647962
Não;8021803100
Não;8029450745
Não;8036105560
Não;8036609282
Não;8047225014
Não;8056032045
Não;8056039210
Não;8049391280
Não;8050879828
Não;8054233388
Não;8056848401
Não;8060380206
Não;8062368335
Não;8063288785
Não;8069130610
Não;8079713324
Não;8092506167
Não;8097813360
Não;8104445774
Não;8109810926
Não;8112757607
Não;8120832299
Não;8125574336
Não;8125636897
Não;8132514432
Não;8140270598
Não;8142118289
Não;8143386589
Não;8161221642
Não;8167141691
Não;8168688678
Não;8169499488
Não;8172161549
Não;8175496177
Não;8175849355
Não;8196662548
Não;8192863891
Não;8193918088
Não;8201136209
Não;8208267406
Não;8211304554
Não;8213948190
Não;8214079020
Não;8237443101
Não;8239052924
Não;8242869871
Não;8247917033
Não;8253997779
Não;8254852820
Não;8256473550
Não;8265607920
Não;8268356600
Não;8271059599
Não;8272410389
Não;8277256639
Não;8291287350
Não;8283705245
Não;8290681801
Não;8305275914
Não;8300621733
Não;8302876631
Não;8303147170
Não;8322284438
Não;8329776247
Não;8343360907
Não;8351089613
Não;8359243190
Não;8360739757
Não;8371259875
Não;8382590730
Não;8397066349
Não;8397908722
Não;8401883237
Não;8412459830
Não;8424417518
Não;8415445300
Não;8423137104
Não;8440465319
Não;8452655550
Não;8453251916
Não;8458820749
Não;8467546735
Não;8468440523
Não;8473201973
Não;8484758281
Não;8490263850
Não;8493240176
Não;8519845339
Não;8524303026
Não;8526284983
Não;8529288408
Não;8529366808
Não;8546804974
Não;8542138643
Não;8544896308
Não;8547130772
Não;8551595105
Não;8566904656
Não;8574375772
Não;8574782653
Não;8576680483
Não;8579827612
Não;8590602419
Não;8594219962
Não;8596979832
Não;8612513189
Não;8614803761
Não;8622535355
Não;8624738709
Não;8628767614
Não;8628865039
Não;8632303694
Não;8665941320
Não;8686503748
Não;8695177599
Não;8706891934
Não;8711263890
Não;8722902805
Não;8726863375
Não;8743999395
Não;8744875444
Não;8747915102
Não;8754577039
Não;8754728770
Não;8758440658
Não;8772633611
Não;8789309650
Não;8789425480
Não;8797675962
Não;8803807306
Não;8805110795
Não;8807175649
Não;8809138198
Não;8817301140
